Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
C1000,Patrick Santiago,54,218,06-12-2022,+1-834-337-4095x491,Indian,Artist,Standard,Platinum,50861.67,136456.68,4,46278.76,107690.4,108195.07,37097.5,53650.28,10926.64,6997.38,5,Medium,5,2,779
C1001,Susan Hansen,29,837,30-04-2018,+1-687-854-0743x37900,British,Artist,Premium,Bronze,183305.97,212190.44,4,6364.39,84089.27,141114.19,33865.9,72224.44,18465.45,30094.99,4,Low,3,2,315
C1002,David Mcclain,49,904,18-09-2016,(591)997-2697x2377,British,Doctor,Premium,Bronze,347544.8,158240.46,5,8484.57,16959.11,77802.35,31647.04,26815.06,24552.7,75113.81,5,Medium,2,1,250
C1003,Kathryn Jimenez,23,147,22-09-2016,675-880-7847,New Zealander,Doctor,Basic,Gold,244045.6,266979.7,4,9721.76,139270.85,74662.2,12199.22,52484.64,166.34,75096.45,0,Medium,2,1,923
C1004,Joseph Sanchez,55,575,12-06-2023,255.799.1633,Australian,Artist,Standard,Gold,244537.06,242410.81,5,26556.59,111785.06,48277.4,37762.5,35405.87,24450.2,89202.03,3,High,4,1,861
C1005,Roberto Mitchell,52,560,21-10-2017,223.511.7887x75293,British,Teacher,Basic,Platinum,389932.43,161176.95,5,11962.29,87974.52,107318.18,11724.68,26867.8,26790.8,8057.77,1,Low,4,1,823
C1006,Jamie Alexander,35,165,04-11-2019,001-202-654-9656x654,Indian,Doctor,Premium,Bronze,225413.89,69981.97,3,19473.84,153959.15,141963.24,976.6,70452.53,17270.71,47697.97,2,Medium,4,2,651
C1007,Jennifer Robinson,56,919,27-06-2020,817.504.2323x585,New Zealander,Doctor,Standard,Platinum,234842.91,18417.2,2,33443.68,159628.46,108903.03,42025.28,73563.33,29421.66,53412.36,3,High,5,1,185
C1008,Wesley Good,63,538,03-01-2023,+1-264-339-4963x41686,New Zealander,Doctor,Standard,Gold,152273.47,104932.27,3,16342.29,152245.94,57489.81,37600.49,66553.94,7568.15,8190.62,0,High,5,1,458
C1009,Katie Farrell,36,765,20-04-2016,8699235747,Australian,Engineer,Standard,Silver,123699.52,15910.21,1,11927.25,94712.21,18044.03,47387.85,37202.72,7687.31,36889.52,4,High,1,1,418
C1010,Raymond Harrison,28,692,25-06-2017,+1-914-334-6465,Australian,Banker,Basic,Bronze,216427.59,217354.26,0,29604.89,166114.33,37184.56,34859.65,24126.61,20527.77,80552.8,4,Low,3,2,777
C1011,Martha Espinoza,45,170,16-03-2021,+1-627-753-9561x637,British,Engineer,Premium,Bronze,79603.27,288628.39,5,44578.75,91947.87,23795.68,8806.85,41739.74,19513.72,61591.24,4,Medium,4,2,945
C1012,Bonnie Hart,59,374,18-10-2017,(996)904-8886x28472,British,Teacher,Standard,Platinum,444366.66,80720.4,3,28492.48,133637.69,51123.1,24715.33,26001.13,14626.5,35482.5,2,Medium,3,2,669
C1013,William Stephens,22,629,14-12-2016,443-737-4666,New Zealander,Engineer,Standard,Bronze,259631.59,229867.75,5,23804.66,142368.48,67778.01,862.16,23538.85,12132.03,24330.52,5,High,3,2,666
C1014,Angela Leonard,55,452,25-08-2023,(770)691-3444x12757,Indian,Artist,Premium,Platinum,360341.82,88565.76,2,11526.9,144256.87,48016.64,37144.05,76070.2,20704.91,19154.1,5,Medium,3,2,202
C1015,Chelsea Ayers,34,403,09-05-2018,(926)661-9117x0783,New Zealander,Banker,Standard,Platinum,36649.73,164899.18,2,2275.79,10905.2,44528.36,47204.48,51029.57,22583.77,10258.76,0,High,3,2,590
C1016,Barbara Casey,50,448,03-09-2022,(415)727-0051x5472,New Zealander,Engineer,Premium,Bronze,83620.96,28949.6,3,3704.11,125889.14,8987.75,7459.88,45027.17,9115.07,99391.81,0,High,4,1,894
C1017,Mrs. Margaret Sandoval DVM,55,489,04-10-2016,+1-460-222-0799,Indian,Doctor,Premium,Bronze,173528.71,190097.92,4,48005.44,19846.71,114647.83,31275.75,21171.69,2435.62,23986.52,4,Low,2,1,518
C1018,Eduardo Robles,50,805,05-01-2024,001-461-231-7763x4126,Indian,Banker,Standard,Silver,165409.3,91988.33,3,3558.99,46684.76,40418.64,39562.39,47183.17,24117.17,19781.92,0,High,2,1,372
C1019,James Reed,31,173,26-09-2024,449-563-9270,Australian,Teacher,Premium,Platinum,236402.12,145922.41,2,34986.68,188535.25,75570.35,24689.76,6435.35,1195.82,43202.87,2,High,3,1,193
C1020,Joel Salazar,36,790,31-01-2020,(555)868-7034,Australian,Banker,Basic,Gold,388661.23,60805.31,4,32575.47,183214.56,28041.88,29266.48,50782.78,14751.77,9124.24,2,Medium,3,2,786
C1021,Jennifer Briggs,28,978,11-06-2018,(223)904-9679x53432,New Zealander,Banker,Premium,Bronze,165462.36,284106.13,4,1834.86,17611.96,38607.43,5796.08,61803.83,25947.32,82492.72,0,High,5,2,523
C1022,Thomas Welch,25,292,09-10-2019,+1-263-912-6551,British,Artist,Premium,Bronze,387195.55,69031.89,4,6550.66,57605.83,132246.15,24235.59,2309.56,18900.67,79931.37,5,Low,3,1,665
C1023,James Massey,48,195,24-05-2022,+1-231-518-0276x754,New Zealander,Engineer,Premium,Gold,334423.55,54651.63,5,14593.08,141082.33,62908.06,24124.98,37777.58,13703.59,14464.2,1,High,5,1,984
C1024,Heather Gilbert,26,382,11-09-2022,+1-624-275-3233x1908,Indian,Banker,Basic,Platinum,415658.25,92023.31,2,41873.8,115984.68,99331.17,43263.03,35723.79,14530.24,33244.0,4,Medium,4,2,990
C1025,Tommy Nguyen,34,814,07-04-2022,(524)728-6726x92758,New Zealander,Artist,Premium,Silver,432326.1,129124.78,2,37235.26,141045.58,121899.93,19303.94,53095.11,24622.43,98081.81,3,Low,2,2,990
C1026,Timothy Collier,28,995,09-07-2025,001-942-819-5890,Indian,Engineer,Basic,Bronze,37213.37,51805.07,5,48497.84,14965.65,117447.27,13251.14,49860.75,11924.5,8031.53,2,High,5,2,424
C1027,Ann Price,62,835,18-02-2020,580-458-3092,Indian,Artist,Standard,Gold,140342.01,208475.88,2,49871.3,149353.27,65661.75,4922.16,50699.83,26177.38,44367.86,5,Medium,1,1,432
C1028,Jordan Jackson,25,400,13-12-2024,(908)602-5520,British,Banker,Premium,Silver,144772.79,129495.01,5,39625.97,33996.73,12766.28,43541.98,49576.83,7224.89,91282.9,1,Low,4,2,570
C1029,Peter Vaughan,38,782,16-01-2018,+1-216-718-0358x680,Australian,Doctor,Premium,Silver,64715.09,284118.33,4,14957.71,192405.81,103856.71,22841.79,24169.73,29981.21,85333.55,0,Low,4,2,688
